addr,total_2021,male_2021,female_2021,total_2019,male_2019,female_2019
전라남도 구례군,25161,12241,12920,26563,12924,13639
전라남도 고흥군,63124,30683,32441,64913,31445,33468
전라남도 보성군,39734,19387,20347,41420,20063,21357
전라남도 화순군,62439,30870,31569,62737,31061,31676
전라남도 장흥군,36876,17931,18945,38563,18690,19873
전라남도 강진군,34099,16514,17585,35286,16944,18342
전라남도 해남군,67797,33556,34241,70354,34642,35712
전라남도 영암군,53108,27504,25604,54593,28027,26566
전라남도 무안군,89675,45064,44611,81105,40659,40446
전라남도 함평군,31418,15815,15603,32861,16404,16457
전라남도 영광군,52288,26129,26159,53852,26828,27024
전라남도 장성군,43715,22394,21321,45739,23489,22250
전라남도 완도군,49171,24757,24414,50689,25457,25232
전라남도 진도군,30242,14992,15250,30715,15093,15622
전라남도 신안군,38551,20602,17949,40274,21402,18872
경상북도 포항시,503344,254837,248507,507025,256140,250885
경상북도 남구,230550,119156,111394,235633,121261,114372
경상북도 북구,272794,135681,137113,271392,134879,136513
경상북도 경주시,252344,126304,126040,255402,127928,127474
경상북도 김천시,140130,70304,69826,141229,70743,70486
경상북도 안동시,157534,77935,79599,160052,79239,80813
경상북도 구미시,413813,212607,201206,419742,215208,204534
경상북도 영주시,102258,50715,51543,105067,52060,53007
경상북도 영천시,101881,51795,50086,102470,52100,50370
경상북도 상주시,96019,47126,48893,100688,49378,51310
경상북도 문경시,71045,34883,36162,72242,35391,36851
경상북도 경산시,267935,134763,133172,263185,132616,130569
경상북도 군위군,22853,11698,11155,23843,12166,11677
경상북도 의성군,50952,24913,26039,52595,25720,26875
경상북도 청송군,24773,12340,12433,25416,12694,12722
경상북도 영양군,16350,8155,8195,16993,8419,8574
경상북도 영덕군,35678,16902,18776,37361,17777,19584
경상북도 청도군,41736,20518,21218,42910,21065,21845
경상북도 고령군,30792,15830,14962,32373,16548,15825
경상북도 성주군,42880,22197,20683,44015,22716,21299
경상북도 칠곡군,114021,59390,54631,117047,61063,55984
경상북도 예천군,55846,27439,28407,55100,27032,28068
경상북도 봉화군,30969,15627,15342,32150,16146,16004
경상북도 울진군,48125,24146,23979,49314,24658,24656
경상북도 울릉군,8976,4930,4046,9617,5230,4387
경상남도 창원시,1034150,523919,510231,1044740,529262,515478
경상남도 의창구,218422,111226,107196,258582,131544,127038
경상남도 성산구,252996,129076,123920,220945,112865,108080
경상남도 마산합포구,180795,89940,90855,177784,88457,89327
경상남도 마산회원구,187941,94123,93818,193807,97453,96354
경상남도 진해구,193996,99554,94442,193622,98943,94679
경상남도 진주시,347407,171691,175716,347334,171834,175500
경상남도 통영시,126141,63327,62814,131404,66053,65351
경상남도 사천시,110243,55613,54630,111925,56451,55474
경상남도 김해시,539226,272767,266459,542455,274336,268119
경상남도 밀양시,103891,51010,52881,105552,51618,53934
경상남도 거제시,242555,127156,115399,248276,130141,118135
경상남도 양산시,353798,177367,176431,350759,176114,174645
경상남도 의령군,26475,13039,13436,27168,13242,13926
경상남도 함안군,63039,32084,30955,65700,33203,32497
경상남도 창녕군,60389,30044,30345,62331,31015,31316
경상남도 고성군,50803,25509,25294,52276,26208,26068
경상남도 남해군,42538,20581,21957,43622,20988,22634
경상남도 하동군,43896,21927,21969,46574,23149,23425
경상남도 산청군,34530,16967,17563,35417,17321,18096
경상남도 함양군,38665,18706,19959,39637,19097,20540
경상남도 거창군,61399,30116,31283,62179,30345,31834
경상남도 합천군,43228,20914,22314,45204,21655,23549
제주특별자치도 제주시,492868,246576,246292,489405,245533,243872
제주특별자치도 서귀포시,183015,92386,90629,181584,91812,89772
