addr,smoking,drinking,w_control,nutirition,stressed,depressed
경기 여주시,23.2(1.6),53.4(2.0),64.9(2.1),86.0(3.3),25.5(2.1),5.4(1.1)
경기 연천군,25.1(1.9),51.9(2.3),62.4(2.1),73.2(4.5),23.5(2.2),5.3(1.0)
경기 의정부시,23.8(1.5),58.2(1.9),59.6(1.8),84.0(3.1),27.2(1.8),8.6(1.1)
경기 이천시,22.1(1.4),56.8(1.8),68.7(1.6),78.8(2.8),32.0(1.7),9.3(1.1)
경기 파주시,20.5(1.6),49.5(1.9),73.6(1.7),88.7(1.9),28.1(1.7),6.0(1.0)
경기 포천시,24.7(1.7),57.4(2.0),55.6(2.1),80.7(3.5),28.3(1.9),7.2(1.4)
경기 하남시,17.5(1.4),55.8(1.7),73.7(1.6),79.8(2.8),26.6(1.7),1.6(0.4)*
경기 광명시,16.3(1.3),48.5(1.6),70.3(1.6),84.1(2.6),30.4(1.7),3.7(0.7)
경기 광주시,21.5(1.3),56.4(1.6),61.3(2.0),91.6(2.1),22.5(1.6),2.0(0.5)*
경기 군포시,13.1(1.3),57.8(1.8),71.9(1.5),81.2(3.0),27.9(1.6),7.0(0.9)
경기 성남시,16.0(0.7),56.4(1.0),65.0(1.0),83.3(1.4),27.7(0.9),5.6(0.5)
경기 성남시,10.1(1.0),55.3(1.5),70.4(1.5),84.2(2.0),27.5(1.5),6.7(0.8)
경기 성남시,22.5(1.4),55.2(1.7),60.9(1.7),85.5(2.3),28.1(1.6),3.6(0.6)
경기 성남시,21.4(1.4),60.6(1.6),58.1(1.8),72.2(4.1),27.7(1.7),5.4(0.9)
경기 수원시,16.9(0.6),58.3(0.8),69.7(0.8),87.2(1.2),27.4(0.8),6.4(0.4)
경기 수원시,19.1(1.3),56.5(1.5),67.9(1.6),91.9(1.7),28.9(1.5),7.1(0.8)
경기 수원시,13.1(1.0),59.0(1.4),69.3(1.5),83.4(2.2),27.0(1.5),7.6(0.9)
경기 수원시,18.4(1.3),57.8(1.6),71.3(1.6),84.7(2.7),30.5(1.5),6.5(0.9)
경기 수원시,18.0(1.5),60.7(1.8),71.1(1.6),88.0(2.4),20.0(1.5),2.9(0.6)
경기 시흥시,21.7(1.2),52.9(1.5),63.9(1.5),74.9(3.5),33.8(1.5),8.9(0.9)
경기 안산시,23.8(1.0),57.9(1.1),66.3(1.1),80.4(2.1),32.2(1.1),9.3(0.7)
경기 안산시,24.6(1.4),58.5(1.6),66.3(1.6),82.5(2.9),32.9(1.6),8.4(0.9)
경기 안산시,23.0(1.4),57.5(1.6),66.5(1.6),78.5(2.8),31.7(1.6),10.1(1.1)
경기 안성시,24.1(1.6),57.5(1.8),63.2(2.0),78.7(3.4),25.8(1.7),9.7(1.1)
경기 안양시,16.5(0.9),57.7(1.3),67.3(1.1),84.3(1.7),30.0(1.1),6.9(0.6)
경기 안양시,14.8(1.3),60.4(1.7),68.5(1.6),84.5(2.2),29.4(1.5),6.6(0.8)
경기 안양시,18.6(1.3),53.8(1.8),66.2(1.5),83.7(2.7),30.4(1.7),7.3(0.9)
경기 오산시,23.6(1.3),55.6(1.6),67.4(1.5),75.2(2.5),28.4(1.5),6.1(0.8)
경기 용인시,16.3(0.7),56.1(1.0),66.9(1.0),84.3(1.5),25.1(0.9),4.4(0.4)
경기 용인시,14.0(1.1),53.2(1.5),66.0(1.6),88.4(2.1),26.3(1.4),4.3(0.7)
경기 용인시,13.4(1.2),59.9(1.6),72.6(1.6),79.2(2.9),26.6(1.6),6.1(0.8)
경기 용인시,24.2(1.5),55.5(1.8),60.7(1.7),82.1(3.2),21.1(1.5),2.1(0.5)*
경기 의왕시,20.3(1.4),58.3(1.7),73.8(1.5),76.9(2.9),28.8(1.6),7.3(0.9)
경기 평택시,21.1(1.1),58.5(1.3),71.2(1.2),83.7(2.1),28.9(1.2),6.6(0.7)
경기 평택시,24.2(1.4),62.0(1.7),67.1(1.7),87.6(2.3),30.4(1.6),6.2(0.9)
경기 평택시,19.4(1.4),56.6(1.7),73.4(1.6),81.9(2.9),28.1(1.7),6.9(1.0)
경기 화성시,17.5(1.2),54.3(1.5),68.2(1.5),84.1(2.6),30.3(1.6),4.9(0.7)
강원 강릉시,20.3(1.6),59.6(1.9),70.9(1.7),84.7(3.3),30.5(1.9),6.8(1.1)
강원 고성군,26.3(1.9),55.3(2.5),60.0(2.3),42.4(7.7),15.6(1.9),3.3(0.9)
강원 동해시,20.5(1.5),61.2(1.8),64.6(2.0),70.9(3.7),22.5(1.8),4.0(0.7)
강원 삼척시,24.5(1.6),52.7(2.2),70.8(1.8),89.1(2.3),26.6(2.2),5.7(1.1)
강원 속초시,21.3(1.6),53.6(2.1),69.5(1.8),81.1(4.9),16.3(1.6),1.6(0.5)*
강원 양구군,20.8(1.8),52.5(2.5),62.6(2.1),87.6(2.9),24.2(2.0),5.7(1.2)
강원 양양군,20.6(1.7),51.9(2.3),61.9(2.2),78.8(3.9),20.2(1.8),3.0(0.8)
강원 영월군,22.7(1.9),54.1(2.5),58.4(2.4),90.0(2.6),30.8(2.6),5.0(1.2)
강원 원주시,24.3(1.2),57.9(1.6),64.2(1.5),84.7(2.0),32.7(1.7),4.2(0.7)
강원 인제군,21.5(1.6),50.8(2.1),60.2(2.2),80.2(3.4),23.3(1.9),3.3(0.8)*
강원 정선군,24.7(2.1),60.8(2.5),55.9(2.4),86.9(3.2),22.0(2.2),5.9(1.3)
강원 철원군,21.4(1.5),51.9(2.1),67.0(2.0),81.2(3.8),23.9(1.9),3.0(0.7)
강원 춘천시,18.0(1.5),58.6(1.8),70.1(1.6),90.3(1.9),33.1(1.6),8.8(1.0)
강원 태백시,26.7(1.7),60.3(2.1),62.9(1.9),78.0(2.9),25.3(2.0),6.0(1.1)
강원 평창군,19.9(1.9),57.3(2.3),67.4(2.1),84.7(3.5),24.6(2.4),7.5(1.3)
강원 홍천군,23.2(1.7),57.9(2.3),64.0(2.0),72.6(3.8),22.4(1.8),7.8(1.2)
강원 화천군,21.7(1.9),49.2(2.4),60.0(2.2),89.9(3.0),21.5(2.2),4.1(1.0)
강원 횡성군,18.8(2.1),48.8(2.6),57.0(2.4),72.6(5.4),22.5(2.0),7.7(1.3)
충북 괴산군,22.8(2.2),54.8(3.2),60.4(3.1),85.4(3.4),30.4(3.0),6.3(1.8)
충북 단양군,19.8(2.1),45.3(3.0),48.1(2.9),82.3(4.9),17.2(2.5),4.7(1.2)
충북 보은군,20.0(1.9),55.8(2.7),51.4(2.8),86.8(4.4),30.9(2.8),9.3(1.7)
충북 영동군,14.5(1.8),49.2(3.0),57.0(2.6),83.1(3.7),18.1(2.1),4.9(1.4)
충북 옥천군,18.1(2.0),51.7(2.6),70.1(2.1),85.4(3.6),29.4(2.6),7.7(1.5)
충북 음성군,24.1(1.4),53.6(2.1),62.7(2.0),77.9(3.9),28.0(1.9),9.0(1.3)
충북 제천시,20.7(1.5),56.0(2.1),65.4(1.9),80.9(3.4),25.4(2.0),6.8(1.0)
충북 증평군,29.3(1.6),64.3(1.8),65.1(2.0),86.6(3.0),25.9(1.7),5.8(0.9)
충북 진천군,23.1(1.6),57.2(1.9),67.5(1.8),81.9(3.1),33.0(1.9),6.0(1.0)
충북 청원군,,,,82.9(1.3),,
충북 청주시,,,,88.6(2.0),,
충북 청주시,,,,78.9(3.0),,
충북 청주시,,,,79.8(2.8),,
충북 청주시,20.9(0.7),57.5(0.9),65.4(0.8),83.8(2.7),25.1(0.8),4.7(0.4)
충북 청주시,22.2(1.5),57.2(1.9),66.1(1.7),81.8(4.1),26.1(1.7),4.9(0.8)
충북 청주시,20.9(1.5),54.3(1.8),68.0(1.7),87.8(2.4),27.1(1.8),5.9(0.8)
충북 청주시,21.0(1.5),58.8(1.7),62.0(1.6),89.5(2.4),25.2(1.7),3.7(0.7)
충북 청주시,19.7(1.3),58.7(1.7),66.5(1.5),74.3(4.5),22.2(1.5),4.7(0.7)
충북 충주시,22.4(1.7),62.2(1.8),70.1(1.7),77.0(4.5),29.3(1.9),9.3(1.1)
충남 계룡시,14.2(1.2),52.4(2.1),71.6(1.6),82.8(3.7),24.5(1.7),3.1(0.7)
