"행정구역(시군구)별",2021. 08,2021. 08,2021. 08,2019,2019,2019,2020,2020,2020
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"양주시",235828,119603,116225,222314,112775,109539,230359,116916,113443
"포천시",148296,78594,69702,148379,78231,70148,147274,77905,69369
"여주시",112289,57131,55158,111083,56427,54656,111897,56838,55059
"연천군",42942,22507,20435,43824,22962,20862,43516,22799,20717
"가평군",62383,32137,30246,62415,32042,30373,62377,32156,30221
"양평군",120954,60817,60137,116874,58654,58220,118810,59563,59247
"강원도",1536270,773260,763010,1541502,775386,766116,1542840,776505,766335
"춘천시",282714,139628,143086,281291,138700,142591,282765,139576,143189
"원주시",355767,176452,179315,349215,173425,175790,354376,175939,178437
"강릉시",213025,105698,107327,213442,105893,107549,213321,105794,107527
"동해시",90056,45716,44340,90522,45845,44677,90593,45991,44602
"태백시",41295,20936,20359,43866,22168,21698,42719,21640,21079
"속초시",82391,40847,41544,81786,40420,41366,82665,40965,41700
"삼척시",63825,32250,31575,67228,34038,33190,65243,33011,32232
"홍천군",68489,35273,33216,69150,35359,33791,69242,35663,33579
"횡성군",46635,23922,22713,46575,23785,22790,46472,23822,22650
"영월군",38055,19719,18336,39127,20143,18984,38662,19986,18676
"평창군",41050,21057,19993,42106,21550,20556,41681,21321,20360
"정선군",35838,18664,17174,37271,19360,17911,36870,19174,17696
"철원군",43691,22693,20998,45584,23767,21817,44699,23216,21483
"화천군",24342,13223,11119,24917,13495,11422,24857,13472,11385
"양구군",21972,11565,10407,22764,12082,10682,22278,11829,10449
"인제군",32034,17378,14656,31672,17143,14529,31694,17084,14610
"고성군",27005,13899,13106,27260,14114,13146,26757,13802,12955
"양양군",28086,14340,13746,27726,14099,13627,27946,14220,13726
"충청북도",1597179,810095,787084,1600007,810384,789623,1600837,811591,789246
"청주시",847965,427378,420587,839566,422864,416702,844993,425848,419145
"서원구",193176,95937,97239,203209,100853,102356,194720,96695,98025
"청원구",193881,99634,94247,195868,100247,95621,194373,99715,94658
"상당구",193628,96217,97411,178352,88765,89587,190034,94480,95554
"흥덕구",267280,135590,131690,262137,132999,129138,265866,134958,130908
"충주시",209546,106027,103519,210737,106569,104168,210186,106273,103913
"제천시",132090,66375,65715,134617,67459,67158,133018,66705,66313
"보은군",32004,16126,15878,32949,16531,16418,32412,16292,16120
"옥천군",50287,25333,24954,51023,25707,25316,50527,25489,25038
"영동군",46139,23006,23133,48738,24181,24557,47475,23624,23851
"증평군",36406,18984,17422,37392,19350,18042,36807,19129,17678
"진천군",84904,44558,40346,81084,42388,38696,83718,43836,39882
"괴산군",37101,19060,18041,39163,20013,19150,39393,20225,19168
"음성군",92224,48801,43423,94982,50264,44718,93153,49388,43765
"단양군",28513,14447,14066,29756,15058,14698,29155,14782,14373
"충청남도",2118183,1082664,1035519,2123709,1081938,1041771,2121029,1082634,1038395
"당진시",166805,88687,78118,167042,88299,78743,166249,88206,78043
"천안시",657250,335811,321439,652258,332447,319811,658808,336221,322587
"동남구",255532,129501,126031,259411,131586,127825,258009,130719,127290
"서북구",401718,206310,195408,392847,200861,191986,400799,205502,195297
"공주시",103386,51672,51714,106474,53343,53131,104545,52297,52248
"보령시",98726,50108,48618,101114,51146,49968,100229,50807,49422
"아산시",322158,167478,154680,314395,162694,151701,316129,164115,152014
"서산시",176360,92005,84355,174690,90348,84342,175591,91399,84192
"논산시",115155,57567,57588,118842,59406,59436,116675,58316,58359
"계룡시",43279,21544,21735,42971,21338,21633,42822,21343,21479
