,addr,smoking,drinking,w_control,nutirition,stressed,depressed
116,안성,24.1,57.5,63.2,78.7,25.8,9.7
117,안양,16.5,57.7,67.3,84.3,30.0,6.9
120,오산,23.6,55.6,67.4,75.2,28.4,6.1
121,용인,16.3,56.1,66.9,84.3,25.1,4.4
125,의왕,20.3,58.3,73.8,76.9,28.8,7.3
126,평택,21.1,58.5,71.2,83.7,28.9,6.6
129,화성,17.5,54.3,68.2,84.1,30.3,4.9
130,강릉,20.3,59.6,70.9,84.7,30.5,6.8
131,고성(강원),26.3,55.3,60.0,42.4,15.6,3.3
132,동해,20.5,61.2,64.6,70.9,22.5,4.0
133,삼척,24.5,52.7,70.8,89.1,26.6,5.7
134,속초,21.3,53.6,69.5,81.1,16.3,1.6
135,양구,20.8,52.5,62.6,87.6,24.2,5.7
136,양양,20.6,51.9,61.9,78.8,20.2,3.0
137,영월,22.7,54.1,58.4,90.0,30.8,5.0
138,원주,24.3,57.9,64.2,84.7,32.7,4.2
139,인제,21.5,50.8,60.2,80.2,23.3,3.3
140,정선,24.7,60.8,55.9,86.9,22.0,5.9
141,철원,21.4,51.9,67.0,81.2,23.9,3.0
142,춘천,18.0,58.6,70.1,90.3,33.1,8.8
143,태백,26.7,60.3,62.9,78.0,25.3,6.0
144,평창,19.9,57.3,67.4,84.7,24.6,7.5
145,홍천,23.2,57.9,64.0,72.6,22.4,7.8
146,화천,21.7,49.2,60.0,89.9,21.5,4.1
147,횡성,18.8,48.8,57.0,72.6,22.5,7.7
148,괴산,22.8,54.8,60.4,85.4,30.4,6.3
149,단양,19.8,45.3,48.1,82.3,17.2,4.7
150,보은,20.0,55.8,51.4,86.8,30.9,9.3
151,영동,14.5,49.2,57.0,83.1,18.1,4.9
152,옥천,18.1,51.7,70.1,85.4,29.4,7.7
153,음성,24.1,53.6,62.7,77.9,28.0,9.0
154,제천,20.7,56.0,65.4,80.9,25.4,6.8
155,증평,29.3,64.3,65.1,86.6,25.9,5.8
156,진천,23.1,57.2,67.5,81.9,33.0,6.0
157,청원,0.0,0.0,0.0,82.9,0.0,0.0
158,청주,0.0,0.0,0.0,88.6,0.0,0.0
166,충주,22.4,62.2,70.1,77.0,29.3,9.3
167,계룡,14.2,52.4,71.6,82.8,24.5,3.1
168,공주,19.0,44.6,65.8,65.5,22.2,7.3
169,금산,22.2,47.4,55.8,81.4,24.5,8.5
170,논산,22.1,49.6,66.3,88.5,22.1,6.2
171,당진,20.7,51.3,71.5,84.9,23.4,7.8
