,addr,total_2021,male_2021,female_2021,total_2019,male_2019,female_2019
171,담양,46314,23497,22817,46535,23719,22816
172,곡성,27754,13619,14135,28887,14114,14773
173,구례,25161,12241,12920,26563,12924,13639
174,고흥,63124,30683,32441,64913,31445,33468
175,보성,39734,19387,20347,41420,20063,21357
176,화순,62439,30870,31569,62737,31061,31676
177,장흥,36876,17931,18945,38563,18690,19873
178,강진,34099,16514,17585,35286,16944,18342
179,해남,67797,33556,34241,70354,34642,35712
180,영암,53108,27504,25604,54593,28027,26566
181,무안,89675,45064,44611,81105,40659,40446
182,함평,31418,15815,15603,32861,16404,16457
183,영광,52288,26129,26159,53852,26828,27024
184,장성,43715,22394,21321,45739,23489,22250
185,완도,49171,24757,24414,50689,25457,25232
186,진도,30242,14992,15250,30715,15093,15622
187,신안,38551,20602,17949,40274,21402,18872
188,포항,503344,254837,248507,507025,256140,250885
189,경주,252344,126304,126040,255402,127928,127474
190,김천,140130,70304,69826,141229,70743,70486
191,안동,157534,77935,79599,160052,79239,80813
192,구미,413813,212607,201206,419742,215208,204534
193,영주,102258,50715,51543,105067,52060,53007
194,영천,101881,51795,50086,102470,52100,50370
195,상주,96019,47126,48893,100688,49378,51310
196,문경,71045,34883,36162,72242,35391,36851
197,경산,267935,134763,133172,263185,132616,130569
198,군위,22853,11698,11155,23843,12166,11677
199,의성,50952,24913,26039,52595,25720,26875
200,청송,24773,12340,12433,25416,12694,12722
201,영양,16350,8155,8195,16993,8419,8574
202,영덕,35678,16902,18776,37361,17777,19584
203,청도,41736,20518,21218,42910,21065,21845
204,고령,30792,15830,14962,32373,16548,15825
205,성주,42880,22197,20683,44015,22716,21299
206,칠곡,114021,59390,54631,117047,61063,55984
207,예천,55846,27439,28407,55100,27032,28068
208,봉화,30969,15627,15342,32150,16146,16004
209,울진,48125,24146,23979,49314,24658,24656
210,울릉,8976,4930,4046,9617,5230,4387
211,창원,1034150,523919,510231,1044740,529262,515478
212,진주,347407,171691,175716,347334,171834,175500
213,통영,126141,63327,62814,131404,66053,65351
214,사천,110243,55613,54630,111925,56451,55474
215,김해,539226,272767,266459,542455,274336,268119
216,밀양,103891,51010,52881,105552,51618,53934
217,거제,242555,127156,115399,248276,130141,118135
218,양산,353798,177367,176431,350759,176114,174645
219,의령,26475,13039,13436,27168,13242,13926
220,함안,63039,32084,30955,65700,33203,32497
221,창녕,60389,30044,30345,62331,31015,31316
222,고성(경남),50803,25509,25294,52276,26208,26068
223,남해,42538,20581,21957,43622,20988,22634
224,하동,43896,21927,21969,46574,23149,23425
225,산청,34530,16967,17563,35417,17321,18096
226,함양,38665,18706,19959,39637,19097,20540
227,거창,61399,30116,31283,62179,30345,31834
228,합천,43228,20914,22314,45204,21655,23549
229,제주,492868,246576,246292,489405,245533,243872
230,서귀포,183015,92386,90629,181584,91812,89772
